"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","66/2156","116/9399",0.568965517241379,2.48038353272343,8.75269753469554,2.26593885871528e-15,7.93078600550349e-13,4.46032175347113e-13,"2744/5579/5582/108/10681/775/5532/5534/2773/55970/22941/2913/2904/5567/2785/23154/2776/3760/2902/116443/2778/2917/57030/2787/2775/2783/2912/2915/2905/157/27165/5530/50944/107/2911/85358/1742/59345/2903/57084/6511/9762/9456/9454/111/9229/2770/3708/23236/5595/776/773/6505/5337/6507/51764/3709/8605/54331/2891/2893/2890/6506/94235/2892/2786",66
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","127/2156","300/9399",0.423333333333333,1.84550556586271,8.12013260867056,2.60832380772845e-14,4.56456666352479e-12,2.56713974760643e-12,"774/5601/6416/5058/2316/5598/51776/10368/1849/5579/5582/1850/5924/998/51701/5494/9693/775/5532/5534/23162/408/55970/7157/5801/5567/5602/4208/5604/673/3925/7132/777/3654/4137/3551/9064/1956/5923/4615/782/9261/23542/5970/84867/285/2768/5530/4293/1844/3315/5599/6788/785/10000/55799/59283/7042/781/10369/4294/56034/7040/4775/5228/84451/4609/7422/9252/1435/836/627/783/4915/2066/208/3725/5595/776/784/3815/929/6196/1944/1946/773/4214/3727/355/3310/27330/5600/1969/3556/1846/9175/4616/8605/5880/9254/3479/1647/7010/1848/2254/786/2065/7039/8913/2263/22808/6237/5607/2324/1945/10125/2323/2261/1943/2064/80310/25780/2122/7048/4804/3082/4233",127
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","88/2156","199/9399",0.442211055276382,1.92780227668957,7.21723612744828,1.61950516885335e-11,1.88942269699557e-09,1.06262268973886e-09,"5579/5582/3356/108/3358/10681/2773/55970/2913/2904/2558/5567/2785/2555/2776/2550/2563/2902/2562/116443/2778/2917/57030/140679/2787/2775/4985/2774/2783/2912/3274/11255/2915/2905/1128/2565/107/5173/2911/1812/6866/2566/2557/59345/2903/6863/57084/2560/5026/6511/2554/1141/2561/2743/6529/153/147/6540/111/4986/2770/9568/3361/1131/23236/5368/6539/1139/6505/5179/6507/51764/3269/54331/2891/150/2893/2890/6506/64805/148/22953/5028/94235/2892/53829/8001/2786",88
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","65/2156","133/9399",0.488721804511278,2.1305641190174,7.16403545613411,4.01233655073303e-11,2.74871112279024e-09,1.54589166905797e-09,"774/5601/55844/805/5579/5582/10681/775/5532/2773/408/55970/2904/5567/5602/2785/816/818/3800/2776/5515/5522/3760/808/2778/2787/2775/2774/2783/815/5521/50632/5530/3763/801/1812/59345/2903/3798/5599/3765/10000/111/2770/3708/23236/208/776/55012/773/84152/1388/5600/51764/28227/3709/54331/2891/2893/2890/94235/5516/5519/2892/2786",65
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","52/2156","97/9399",0.536082474226804,2.33703115735516,7.22141133733294,4.62368750491978e-11,2.74871112279024e-09,1.54589166905797e-09,"805/5579/5582/108/10681/775/2773/55970/2904/5567/2785/816/818/2776/3760/2902/808/2983/2778/2787/2775/2783/815/6262/4842/2905/3763/801/107/116/59345/2903/3765/2982/111/2770/9252/3708/9722/23236/5595/776/51764/54331/2891/2893/2890/8913/6261/94235/2892/2786",52
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","49/2156","89/9399",0.550561797752809,2.40015321756895,7.24066711589638,4.71207621049756e-11,2.74871112279024e-09,1.54589166905797e-09,"774/23710/2744/5579/5582/108/10681/775/2773/55970/2558/5567/2785/2555/2550/4905/2572/2563/2562/140679/2787/2775/2783/57468/2565/27165/10243/3763/107/2566/2557/59345/2560/2554/2561/6529/6540/111/2770/9568/5334/776/2571/6539/773/51764/54331/94235/2786",49
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","118/2156","299/9399",0.394648829431438,1.72045656207147,6.90725604816822,5.86539497965481e-11,2.9326974898274e-09,1.64936670856459e-09,"57180/5601/5058/57522/5579/5582/9423/998/56924/2036/9693/9223/288/5602/11141/5604/81873/3786/23136/10382/22999/5291/9901/3785/7277/8828/5818/139065/8541/3739/6586/5063/50848/137970/3678/4067/4478/8499/58494/117178/10458/84623/287/3676/8829/145581/8826/91768/57144/4301/5599/6711/3737/55243/10000/90249/57524/56288/5962/8573/10627/3688/3897/5819/114798/5588/10095/5829/5789/26047/3736/1796/6334/6712/23085/8633/57731/4008/208/7204/5595/5803/26050/23426/6900/8506/253559/7410/4684/4155/1272/8497/3689/84617/3385/4099/5600/3556/4685/653857/3690/4916/3635/87/6585/80059/7430/4629/9353/23380/23114/199731/5375/120425/342035/150084/999/57689",118
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","73/2156","158/9399",0.462025316455696,2.01418179469717,7.01403170622919,7.4195846498525e-11,3.15934142248526e-09,1.77683261956314e-09,"10403/7465/983/1111/7272/5933/1017/5111/7157/23047/4174/5515/9133/1032/1031/4172/7533/57082/4176/699/890/9700/4171/701/7534/26271/894/10735/10926/151648/995/7042/993/1875/4085/991/8243/891/9212/7040/1019/157570/1663/4609/9232/8900/90381/9126/5347/7029/4175/595/8318/4173/1021/10274/5934/4998/4616/23383/113130/1647/81620/4193/7027/546/1028/27085/1029/4087/5516/5519/1030",73
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","88/2156","204/9399",0.431372549019608,1.88055222088836,6.9370877755546,8.12402080067639e-11,3.15934142248526e-09,1.77683261956314e-09,"960/5058/2316/4660/5579/5582/998/288/7157/7480/2335/5567/816/967/7097/5604/818/3091/3339/673/6608/5291/6774/1956/815/3678/4478/5328/7474/287/7078/8826/8324/23365/10000/7042/5962/3236/1278/3688/4313/5829/7040/4609/7422/1277/836/3708/2066/208/27250/857/5595/3059/595/10855/2535/7074/8321/6382/7410/8326/2817/355/7855/5600/3690/3709/4318/3479/867/286/7477/7430/2065/22808/79923/4193/10818/6237/6093/3693/4060/4087/2064/858/3082/4233",88
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","49/2156","91/9399",0.538461538461538,2.3474025974026,7.04648846068353,1.36181516775743e-10,4.766353087151e-09,2.68062564600673e-09,"774/5579/5582/5136/108/10681/2773/408/55970/2558/5567/2785/2555/2550/3760/2563/5138/2562/2778/140679/2787/2775/2783/2565/157/3763/107/1812/2566/2557/59345/5137/3765/2560/2554/2561/111/2770/5141/9568/773/5153/5143/51764/54331/10846/50940/94235/2786",49
